1;G;286;1212;432;463;663;1258;1141;3062;169;174;812;1397;197;813;584;1021;70;332;4354;9732;;
2;G;233;507;567;892;1163;828;554;2110;210;828;675;950;130;1009;612;780;106;1308;4250;9212;;
3;G;382;886;308;516;425;901;476;492;121;990;432;1288;206;280;565;1060;80;783;2995;7196;;
4;G;124;709;214;345;418;696;181;1117;136;358;536;685;100;263;385;862;67;926;2161;5961;;
5;G;146;343;215;578;414;1010;104;788;127;92;323;537;98;149;434;785;46;273;1907;4555;;
6;G;413;563;301;483;520;904;187;458;76;420;367;602;88;927;514;770;44;1571;2510;6698;;
7;G;522;568;293;418;579;893;489;747;86;170;473;663;172;739;671;797;210;1263;3495;6258;;
8;G;170;241;209;452;468;1371;583;543;139;360;576;1621;139;258;526;884;127;510;2937;6240;;
9;G;502;2215;313;748;470;799;1163;984;419;684;858;633;374;1123;374;1838;94;812;4567;9836;;
10;G;621;1169;1169;1273;846;1274;1015;1707;293;382;1039;1894;298;747;1064;1608;108;398;6453;10452;;
11;G;166;408;313;497;432;1008;281;1091;74;611;511;808;116;308;450;812;137;413;2480;5956;;
12;G;288;476;669;516;612;2146;2562;1537;637;471;526;1422;262;847;664;1156;127;1712;6347;10283;;
13;G;153;1232;196;562;535;611;220;407;467;197;344;575;129;1371;501;564;244;636;2789;6155;;
14;G;321;897;275;430;793;1720;604;841;181;2262;610;1266;240;1492;409;1211;430;750;3863;10869;;
15;G;411;494;286;742;381;880;350;801;673;127;443;698;169;278;543;844;116;1186;3372;6050;;
16;G;271;733;193;682;320;978;626;358;90;416;358;880;137;1337;293;832;53;277;2341;6493;;
17;G;459;1328;700;881;659;976;324;337;137;614;719;948;78;943;795;1248;97;246;3968;7521;;
18;J;483;252;315;322;649;1055;1205;153;219;107;791;803;187;772;645;1141;114;450;4608;5055;;
19;J;562;227;981;386;1038;2169;1930;222;268;774;1212;2505;175;1375;1016;1262;98;547;7280;9467;;
20;J;375;684;388;419;941;2433;584;197;240;261;1127;549;563;1558;566;1326;108;315;4892;7742;;
21;J;764;512;558;295;938;1093;1764;377;475;120;3240;1388;286;550;740;971;535;498;9300;5804;;
22;J;1139;2179;613;1265;574;1411;2256;417;337;167;582;1479;344;1202;735;1054;153;437;6733;9611;;
23;J;479;575;1178;439;1983;1054;2910;1042;1022;282;1197;818;900;665;782;758;244;2275;10695;7908;;
24;J;1106;943;895;1042;893;1566;2166;809;927;177;1011;997;324;730;841;1279;103;1604;8266;9147;;
25;J;914;1620;1051;508;842;869;787;226;325;140;716;741;173;728;732;798;192;381;5732;6011;;
26;J;673;358;1590;677;711;591;1423;252;177;87;650;640;160;170;691;703;102;594;6177;4072;;
27;J;907;886;1713;739;773;1581;1642;330;1458;329;920;600;352;732;722;1391;144;761;8631;7349;;
28;J;1609;2124;4285;756;1697;932;2278;2648;1174;1045;1541;1036;200;2565;1514;1166;116;2285;14414;14557;;
29;J;1007;556;1883;1308;1757;1419;2000;686;880;742;1665;1034;268;1845;950;2104;146;1004;10556;10698;;
30;J;484;325;735;349;953;1475;1356;218;320;134;626;1851;210;1118;825;904;215;1371;5724;7745;;
31;J;560;563;858;669;1069;1513;312;719;2264;251;781;817;258;582;823;1189;147;958;7072;7261;;
32;J;651;856;637;1085;1401;723;1384;639;885;233;915;735;348;1565;1049;2538;105;752;7375;9126;;
33;J;480;339;1437;1354;899;883;1822;531;1740;142;720;1004;102;1585;772;1046;170;397;8142;7281;;
