Age;Status;Studies;YearsOfExperience;impression;Format;Error_position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;6511
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;3610
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;6824
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;12816
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;0;1;1;1;true;20080
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;4;1;0;0;true;17687
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;5632
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;2;1;0;0;true;3589
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;5131
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;0;1;1;1;true;21079
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;7285
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;13367
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;13063
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;18087
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;11776
